1;25,86
3;25,02
6;24,02
7;27,56
8;30,96
9;33,98
10;35,63
12;37,44
13;41,19
15;45,46
17;42,24
19;30,3
20;28,69
21;27,67
22;26,63
23;25,78
25;25,32
26;24,94
27;25,01
28;24,74
29;23,64
30;23,17
31;25,52
32;27,73
33;30,96
34;35,07
35;36,93
36;38,23
37;40,69
39;43,54
40;43,17
41;41,54
42;34,22
43;30,13
45;26,9
46;26,16
47;25,41
48;25,12
49;24,69
51;24,02
53;23,09
54;22,5
55;25,41
57;31,96
58;34,78
59;37,05
61;38,36
62;41,29
63;43,81
64;42,39
65;42,31
67;30,3
68;29,03
69;27,85
70;26,96
71;26,29
73;25,81
74;25,54
75;24,88
76;24,25
77;24,12
79;24,99
80;26,1
81;32,77
82;32,2
83;34,22
84;32,99
86;38,22
87;38,11
89;33,74
90;29,53
91;27,44
92;26,43
93;25,51
94;25,16
95;25,19
96;24,74
97;24,97
98;24,97
99;24,9
100;23,95
101;23,3
102;23,61
104;27,77
105;31,14
106;34,34
107;36,08
108;36,56
109;41,02
110;42,94
111;42,7
112;40,55
114;32,75
115;30,02
116;28,31
117;27,07
118;26,13
120;25
121;24,43
122;23,77
123;23,82
127;26,65
128;30,17
129;34,07
131;35,8
132;38,8
134;43,24
136;42,61
138;33,07
139;29,76
140;28,26
141;27,11
142;26,33
145;25,38
147;24,84
148;23,87
152;31,92
153;34,19
154;37,59
155;39,07
156;39,7
157;42,79
158;44,81
159;44,19
160;44,6
161;42,32
162;36,15
163;32,14
164;29,53
165;27,86
166;26,82
168;25,44
170;24,99
171;25,13
172;24,88
173;23,88
174;23,07
175;25,52
176;32,11
178;33,81
179;36,68
180;37,98
181;41,64
182;39,3
184;35,88
185;30,95
186;28,7
187;27,15
189;27,04
190;26,6
192;25,32
193;25,28
194;24,99
195;24,58
197;24,6
198;24,38
199;26,84
200;26,98
201;30,99
204;34,52
205;36,56
206;40,56
209;34,32
210;30,25
211;27,92
212;26,63
213;25,89
214;25,32
215;25,21
216;24,89
218;23,92
219;23,65
220;23,64
222;23,87
223;25,85
225;33,05
226;34,89
227;36,44
229;41,01
231;44,79
232;40,64
233;34,24
234;31,82
235;29,95
236;28,87
238;26,84
239;26,26
240;25,79
241;24,88
243;24,12
244;23,49
245;22,91
246;22,74
247;27,33
248;31,77
249;34,61
250;36,81
251;37,89
252;38,45
253;41,85
255;41,09
256;42,9
258;35,81
259;31,44
260;30,02
261;28,78
262;27,59
263;26,82
264;26,3
266;25,76
267;25,5
268;24,94
270;25,21
271;27,56
273;34,96
274;36,06
275;38,12
276;39,26
277;41,42
280;45,77
283;31,26
285;27,86
287;26,32
288;25,88
289;25,36
290;25,12
291;24,97
293;23,81
294;24
296;32,13
298;36,22
299;38,49
300;39,03
301;40,85
302;40,31
303;42,51
304;41,96
305;38,05
306;33,31
307;30,49
308;28,79
309;27,59
310;26,84
312;25,3
313;24,5
314;23,66
315;22,67
318;21,43
319;26,66
320;31,81
321;33,93
323;37,02
324;38,93
325;42,34
327;46,78
328;45,76
329;42,59
330;35,12
332;29,13
333;27,64
334;26,56
335;25,66
336;24,94
337;24,63
338;24,33
339;23,84
340;23,23
341;22,8
343;27,96
344;31,4
345;33,35
346;33,53
349;41,51
350;43,06
351;43,63
352;42,32
353;41,92
354;34,09
356;29,04
357;27,8
359;25,93
360;25,37
361;25,18
362;24,51
363;24,36
364;24,44
365;24,87
367;25,61
368;26,98
369;30,93
370;33
371;35,68
372;37,3
373;41,31
374;38,52
375;37,71
376;36,84
377;34,79
379;28,85
380;27,78
381;26,88
382;25,9
383;24,99
384;24,11
385;23,52
386;23,15
388;22,69
389;22,75
390;23,19
391;24,53
392;30,64
393;32,99
394;32,43
395;31,1
396;35,74
397;40,31
398;40,9
400;34,2
401;31,62
402;29,12
403;27,59
405;25,85
407;25,11
408;24,96
409;24,56
410;23,97
411;23,9
412;23,83
414;23,93
416;28,82
418;31,74
419;36,7
420;33,17
422;32,76
423;32,29
424;29,73
425;25,65
426;24,18
427;23,54
428;23,31
429;23,27
430;23,31
431;23,28
433;22,93
434;23
435;23,31
439;26,86
440;32,09
441;35,43
442;35,52
443;36,69
444;38,98
445;40,15
446;41,43
448;43,33
450;31,76
451;29,17
453;23,68
454;22,93
455;23,11
456;23,49
457;23,79
458;23,49
460;22,35
461;22,11
462;22,07
463;22,41
466;25,77
467;25,53
468;25,99
469;27,16
470;29,21
471;29,21
472;32,09
473;29,81
474;26,06
476;24,62
477;24,36
479;24,12
480;24,15
482;23,15
483;22,5
484;22,07
485;22,3
486;22,32
487;23,47
488;27,67
490;31,69
491;32,12
493;36,15
494;37,81
495;37,29
496;33,65
497;31,53
498;28,19
499;26,43
500;25,9
502;25,16
503;24,16
504;23,6
505;23,56
506;23,34
507;23,69
508;23,63
510;22,91
511;25,18
513;30,24
514;34,21
515;33,46
516;35,84
517;39,05
518;34,02
519;30,85
521;28,94
522;26,77
523;25,63
524;24,76
525;24,13
526;23,68
527;23,77
528;25,04
529;24,72
530;24,22
531;24,03
532;24,29
533;23,2
534;22,76
536;28,83
537;32,9
538;33,97
540;37,28
542;35,2
543;34,88
544;35,41
545;36,52
546;31,04
547;28,6
548;27,13
549;25,93
550;25,33
551;24,66
552;24,12
553;24,11
554;24
555;23,85
556;22,11
557;21,57
558;21,56
559;21,96
560;23,14
561;24,76
563;26,98
564;29,87
565;31,74
567;31,69
568;31,39
569;29,14
570;26,85
571;25,73
572;25,21
573;24,58
574;24,04
576;23,19
578;21,76
579;21,54
580;21,08
581;21,31
585;31,2
587;35,28
588;35,16
589;38,27
590;38,98
591;39,12
592;38,44
593;38,59
595;26,3
597;24,97
598;24,73
599;24,56
601;24,14
602;24,26
603;24,19
605;23,77
606;23,35
607;26,69
608;29,59
609;32,64
610;33,51
611;34,33
612;35,54
613;38,17
614;39,5
615;42
616;40,95
617;39,96
618;32,14
619;29,04
622;24,51
623;24,25
624;24,23
625;24,15
626;23,97
627;23,56
628;23,12
629;22,76
630;22,68
631;27,9
632;31,85
633;34,54
635;35,69
637;38,77
639;41,88
640;40,64
641;37,89
642;30,87
643;27,4
644;26,13
645;25,93
647;25,75
648;25,25
649;24,9
650;24,43
651;23,87
652;23,66
656;32,64
658;37,13
659;37,02
660;37,43
661;38,49
662;37,81
663;35,1
664;34,98
665;31,56
666;28,93
667;27,49
668;26,66
669;25,92
670;25,45
673;24,49
674;24,13
675;24,25
676;24,32
677;23,81
680;26,6
681;30,45
682;31,78
683;34,72
684;34,62
685;38,12
686;40,46
687;40,22
688;34,58
689;37,13
691;27,56
692;25,53
693;24,72
694;24,35
695;24,22
696;23,88
699;23,17
700;23,25
701;23,4
702;23,47
703;24,06
706;32,38
708;35,08
709;36,94
710;33,19
711;33,21
712;32,56
713;31,39
714;25,61
717;23,7
718;23,57
719;23,42
720;23,55
